id,created_at,updated_at,manufacturer_id,processor_family_id,microarchitecture_id,code_name_id,technology_id,cache_on_id,cache_off_id,die_photo_id,model,date,clock,max_clock,hw_nthreadspercore,hw_ncores,tdp,source,bus_width,transistors,die_size,vdd_low,vdd_high
1,"2014-11-17 00:01:26.708453","2014-11-17 00:01:26.708453",9,1,,1,,1,2,,3.60E,,3600,,1,1,110,http://ark.intel.com/products/27089/64-bit-Intel-Xeon-Processor-3_60E-GHz-2M-Cache-800-MHz-FSB,,169,135,1.2875,1.3875
2,"2014-11-17 00:01:26.732099","2014-11-17 00:01:26.732099",9,1,,1,,1,2,,3.6,,3600,,2,1,110,http://ark.intel.com/products/28019/64-bit-Intel-Xeon-Processor-3_60-GHz-2M-Cache-800-MHz-FSB,,169,135,1.25,1.388
3,"2014-11-17 00:01:26.754340","2014-11-17 00:01:26.754340",9,1,,1,,1,2,,3.80E,,3800,,1,1,110,http://ark.intel.com/products/27092/64-bit-Intel-Xeon-Processor-3_80E-GHz-2M-Cache-800-MHz-FSB,,169,135,1.2875,1.3875
4,"2014-11-17 00:01:26.796928","2014-11-17 00:01:26.796928",9,1,,2,,3,2,,,,3660,,2,1,110,http://ark.intel.com/products/27103/64-bit-Intel-Xeon-Processor-3_66-GHz-1M-Cache-667-MHz-FSB,,125,112,1.2875,1.4
5,"2014-11-17 00:01:26.847382","2014-11-17 00:01:26.847382",9,2,,3,,4,2,,310,,2130,,1,1,73,http://ark.intel.com/products/27104/Intel-Celeron-D-Processor-310-(256K-Cache-2_13-GHz-533-MHz-FSB),,125,112,1.25,1.4
6,"2014-11-17 00:01:26.868530","2014-11-17 00:01:26.868530",9,2,,3,,4,2,,315,,2260,,1,1,73,http://ark.intel.com/products/27105/Intel-Celeron-D-Processor-315-(256K-Cache-2_26-GHz-533-MHz-FSB),,125,112,1.25,1.4
7,"2014-11-17 00:01:26.888672","2014-11-17 00:01:26.888672",9,2,,3,,4,2,,315J,,2260,,1,1,73,http://ark.intel.com/products/27106/Intel-Celeron-D-Processor-315315J-(256K-Cache-2_26-GHz-533-MHz-FSB),,125,112,1.25,1.4
8,"2014-11-17 00:01:26.908313","2014-11-17 00:01:26.908313",9,2,,3,,4,2,,320,,2400,,1,1,73,http://ark.intel.com/products/27107/Intel-Celeron-D-Processor-320-(256K-Cache-2_40-GHz-533-MHz-FSB),,125,112,1.25,1.4
9,"2014-11-17 00:01:26.929046","2014-11-17 00:01:26.929046",9,2,,3,,4,2,,325,,2530,,1,1,73,http://ark.intel.com/products/27108/Intel-Celeron-D-Processor-325-(256K-Cache-2_53-GHz-533-MHz-FSB),,125,112,1.25,1.4
10,"2014-11-17 00:01:26.951261","2014-11-17 00:01:26.951261",9,2,,3,,4,2,,325J,,2530,,1,1,84,http://ark.intel.com/products/27110/Intel-Celeron-D-Processor-325J-(256K-Cache-2_53-GHz-533-MHz-FSB),,125,112,1.25,1.4
